word	phones
baa baa	2
choo choo	3
cockadoodledoo	10
grr	3
meow	3
moo	2
ouch	3
quack quack	4
uh oh	2
vroom	4
woof woof	3
yum yum	3
animal	6
bear	2
bee	2
bird	3
bug	3
bunny	4
butterfly	7
cat	3
chicken	6
cow	2
deer	2
dog	3
donkey	5
duck	3
elephant	7
fish	3
frog	4
giraffe	5
goose	3
horse	3
kitty	4
lamb	3
lion	4
monkey	5
mouse	3
owl	2
penguin	7
pig	3
pony	4
puppy	4
sheep	3
squirrel	6
teddy bear	7
tiger	4
turkey	4
turtle	4
airplane	5
bicycle	6
bus	3
car	2
fire truck	7
motorcycle	8
stroller	6
train	4
truck	4
ball	3
balloon	5
block	4
book	3
bubbles	5
doll	3
pen	3
toy	2
apple	3
banana	6
bread	4
butter	4
cake	3
candy	5
carrots	6
cereal	6
cheerios	5
cheese	4
chicken	6
coffee	4
cookie	4
cracker	5
drink	5
egg	2
fish	3
food	3
ice cream	6
juice	3
meat	3
milk	4
noodles	5
orange	5
peas	3
pizza	4
raisin	4
spaghetti	7
toast	4
water	4
beads	4
bib	3
boots	3
button	4
coat	3
diaper	5
dress	4
hat	3
jacket	5
jeans	4
necklace	6
pajamas	7
pants	4
shirt	3
shoe	2
shorts	4
sock	3
sweater	5
zipper	4
arm	2
belly button	8
cheek	4
ear	1
eye	1
face	3
foot	3
finger	5
hair	2
hand	4
head	3
knee	2
leg	3
mouth	3
nose	3
owie	2
tooth	3
toe	2
tongue	3
tummy	4
bathroom	6
bathtub	3
bed	3
bedroom	6
chair	3
couch	4
crib	4
door	2
drawer	4
garage	4
highchair	5
kitchen	6
living room	8
oven	3
playpen	6
potty	4
refrigerator	11
rocking chair	8
sink	4
stairs	3
stove	4
table	4
tv	4
window	5
blanket	7
bottle	4
bowl	3
box	4
broom	4
brush	4
clock	4
comb	3
cup	3
dish	3
fork	3
glass	4
glasses	5
hammer	4
keys	3
lamp	4
light	3
medicine	6
money	4
paper	4
penny	4
picture	6
pillow	4
plant	5
plate	4
purse	3
radio	5
scissors	5
soap	3
spoon	4
telephone	7
toothbrush	7
towel	3
trash	4
vacuum	7
watch	4
backyard	6
beach	4
church	5
flower	4
garden	4
home	3
house	3
moon	3
outside	5
park	3
party	4
pool	3
rain	3
rock	3
school	4
shovel	4
sky	3
slide	4
snow	3
star	3
store	3
sun	3
swing	4
tree	3
water	4
work	3
zoo	2
aunt	3
baby	4
baby sitter	8
boy	2
brother	5
child	5
daddy	4
girl	3
grandma	6
grandpa	6
lady	4
man	3
mommy	2
people	4
person	4
sister	5
teacher	5
uncle	4
bath	3
breakfast	8
bye	2
dinner	4
don't	4
hello	4
hi	2
lunch	5
nap	3
night night	3
no	2
pattycake	7
peekaboo	6
please	4
shh	1
thank you	6
wait	3
wanna	5
yes	3
bite	3
blow	3
break	4
bring	4
bump	4
clean	4
close	4
cry	3
dance	4
draw	3
drink	5
drive	4
eat	2
fall	3
feed	3
finish	5
get	3
give	3
go	2
help	4
hit	3
hug	3
hurry	4
jump	4
kick	3
kiss	3
look	3
love	3
open	4
play	3
pull	3
push	3
put	3
read	3
ride	3
run	3
say	2
see	2
show	2
sing	3
sleep	4
smile	4
splash	5
stop	4
swim	4
swing	4
take	3
throw	3
tickle	4
touch	4
watch	4
walk	3
wash	3
wipe	3
write	3
day	2
later	4
morning	5
night	3
now	2
today	4
tomorrow	6
tonight	5
all gone	3
asleep	5
bad	3
big	3
blue	3
broken	6
careful	5
clean	4
cold	4
cute	4
dark	3
dirty	4
dry	3
empty	5
fast	4
fine	3
gentle	5
good	3
happy	4
hard	3
hot	3
hungry	6
hurt	3
little	4
naughty	4
nice	3
old	3
pretty	5
red	3
scared	4
sick	3
sleepy	5
soft	4
thirsty	5
tired	4
wet	3
yucky	4
her	2
his	3
i	1
it	2
me	2
mine	3
my	2
that	3
this	3
you	2
your	2
how	2
what	3
when	3
where	2
who	2
why	2
away	3
back	3
down	3
in	2
inside	5
off	2
on	2
out	2
there	2
under	4
up	2
all	2
another	5
more	2
none	3
not	3
other	3
same	3
some	3
